train/critic_loss,train/n_updates,time/time_elapsed,time/episodes,train/learning_rate,time/total_timesteps,time/fps,train/reward,train/actor_loss
1206159.6410845588,7446,265,4,0.001,9928,37,12.761723,-7136.8098398311595
46930.90476154878,17374,627,8,0.001,19856,31,12.761723,-2593.6921395571553
3422.1096875039348,27302,997,12,0.001,29784,29,12.761723,-1096.4984233896162
1140.148087340915,37230,1351,16,0.001,39712,29,12.761723,-557.3356049788949
558.5980035257762,47158,1729,20,0.001,49640,28,12.761723,-315.6065481894445
