time/fps,time/iterations,time/time_elapsed,train/reward,time/total_timesteps,train/n_updates,train/approx_kl,train/value_loss,train/entropy_loss,train/clip_range,train/learning_rate,train/clip_fraction,train/explained_variance,train/std,train/policy_gradient_loss,train/loss
396,1,5,5.708093,2048,,,,,,,,,,,
382,2,10,39.508312,4096,10,0.019545838,154.68625802993773,-42.62272276878357,0.2,0.00025,0.225732421875,-0.015845417976379395,1.0030381679534912,-0.060532850856543516,77.54498291015625
383,3,16,-49.929737,6144,20,0.015550429,368.52680311203005,-42.68379964828491,0.2,0.00025,0.175537109375,-0.014063119888305664,1.0044264793395996,-0.05113328240986448,220.0773468017578
382,4,21,17.040495,8192,30,0.0077065164,1775.7174446105957,-42.71728539466858,0.2,0.00025,0.049755859375,-0.011432051658630371,1.0055080652236938,-0.02704104881704552,755.7550048828125
382,5,26,5.430094,10240,40,0.016710615,652.4272666931153,-42.74528307914734,0.2,0.00025,0.160107421875,-0.024509191513061523,1.0063550472259521,-0.05027583826740738,274.5950622558594
383,6,32,-190.48486,12288,50,0.011138542,2347.894080352783,-42.77154052257538,0.2,0.00025,0.0998046875,-0.01717531681060791,1.0073338747024536,-0.039850976626621556,1246.0948486328125
382,7,37,-73.998886,14336,60,0.006225178,5120.383546447754,-42.78770904541015,0.2,0.00025,0.028759765625,0.0215909481048584,1.0073933601379395,-0.02196283673256403,2244.96875
382,8,42,6.289314,16384,70,0.0059313625,4257.0234298706055,-42.799537658691406,0.2,0.00025,0.02705078125,0.05276280641555786,1.0081534385681152,-0.02387237573566381,1543.4779052734375
382,9,48,18.728165,18432,80,0.008109979,4066.506416320801,-42.82709903717041,0.2,0.00025,0.05048828125,0.078532874584198,1.0092508792877197,-0.029022739370702766,2728.194091796875
383,10,53,-39.327755,20480,90,0.008006404,3058.150570678711,-42.83828849792481,0.2,0.00025,0.054931640625,0.11453664302825928,1.008943796157837,-0.02716690348024713,1500.7750244140625
382,11,58,-12.096269,22528,100,0.0031947098,9705.249639892578,-42.84265975952148,0.2,0.00025,0.01171875,0.12817907333374023,1.009568452835083,-0.014079617461538874,4648.10546875
382,12,64,112.05323,24576,110,0.004643386,6000.3429504394535,-42.85441963672638,0.2,0.00025,0.011083984375,0.1684308648109436,1.0097012519836426,-0.019255895382957532,2570.7373046875
382,13,69,288.82507,26624,120,0.004155766,7844.058627319336,-42.8609365940094,0.2,0.00025,0.009716796875,0.19424134492874146,1.0100359916687012,-0.01803240173612721,3504.887451171875
383,14,74,172.13246,28672,130,0.007387177,5846.930026245117,-42.87456405162811,0.2,0.00025,0.0388671875,0.1960020661354065,1.0105565786361694,-0.026495117018930613,3998.75927734375
383,15,80,-84.365715,30720,140,0.0054059885,7589.887033081055,-42.888819217681885,0.2,0.00025,0.018701171875,0.2154383659362793,1.0110338926315308,-0.020512383634923026,4784.0966796875
