train/value_loss,train/explained_variance,train/policy_loss,time/iterations,train/learning_rate,train/reward,time/fps,time/time_elapsed,train/std,train/entropy_loss,time/total_timesteps,train/n_updates
40.20679473876953,0.3931906223297119,-217.9208526611328,100,0.0007,20.217365,83,5,0.9969712495803833,-42.47939682006836,500,99
2149.42724609375,0.16739243268966675,-1571.328857421875,200,0.0007,-29.020761,80,12,1.000430703163147,-42.57286071777344,1000,199
19632.830078125,0.07735538482666016,-4655.185546875,300,0.0007,391.48047,78,19,1.0006096363067627,-42.58439254760742,1500,299
5825.48046875,0.10426461696624756,1493.272705078125,400,0.0007,-97.89238,78,25,1.0027271509170532,-42.648128509521484,2000,399
283.8417663574219,-0.5151690244674683,-667.2196655273438,500,0.0007,-12.55534,78,31,1.0026593208312988,-42.642967224121094,2500,499
720.138427734375,-0.10091829299926758,-614.9072875976562,600,0.0007,23.946304,77,38,1.0047394037246704,-42.700531005859375,3000,599
13178.3486328125,0.12672138214111328,3834.422607421875,700,0.0007,-229.43738,77,45,1.0051442384719849,-42.72030258178711,3500,699
26759.728515625,0.11077368259429932,1617.3236083984375,800,0.0007,1.1281277,76,52,1.005124807357788,-42.718292236328125,4000,799
61445.8125,0.097115159034729,-6274.20849609375,900,0.0007,-387.83047,75,59,1.0060802698135376,-42.744911193847656,4500,899
609.4880981445312,-1.0432360172271729,-976.5851440429688,1000,0.0007,0.009224808,74,67,1.0064400434494019,-42.75557327270508,5000,999
12696.7421875,0.11371564865112305,301.6029357910156,1100,0.0007,-13.779056,74,73,1.0079509019851685,-42.800804138183594,5500,1099
21206.994140625,0.05811154842376709,-3256.679931640625,1200,0.0007,38.35145,75,79,1.0111809968948364,-42.892024993896484,6000,1199
124226.640625,0.13918066024780273,-11136.140625,1300,0.0007,-64.460205,74,86,1.0136873722076416,-42.96218490600586,6500,1299
7818.3291015625,0.04530364274978638,-1180.063232421875,1400,0.0007,-452.03928,75,93,1.013378381729126,-42.958133697509766,7000,1399
453.41009521484375,0.49434196949005127,-285.88153076171875,1500,0.0007,-49.404705,75,99,1.0148640871047974,-42.98809051513672,7500,1499
4185.3125,0.2944207191467285,-1519.6356201171875,1600,0.0007,27.220444,76,105,1.0130293369293213,-42.94491958618164,8000,1599
8988.1884765625,0.3337932229042053,-1472.359619140625,1700,0.0007,-162.18675,76,111,1.0121597051620483,-42.92234420776367,8500,1699
27215.75390625,0.41661226749420166,5194.79248046875,1800,0.0007,-166.67348,76,117,1.0126029253005981,-42.93799591064453,9000,1799
109833.0390625,0.0016335248947143555,12114.4814453125,1900,0.0007,-465.04904,77,122,1.0130698680877686,-42.938720703125,9500,1899
1391.582275390625,-4.377168655395508,751.1051025390625,2000,0.0007,22.670073,77,128,1.0125577449798584,-42.925899505615234,10000,1999
6354.79248046875,0.15085965394973755,-1991.4609375,2100,0.0007,-93.277725,77,134,1.0151185989379883,-42.99693298339844,10500,2099
24947.009765625,0.48521286249160767,-5369.81103515625,2200,0.0007,109.83986,78,140,1.013995885848999,-42.964447021484375,11000,2199
44602.9609375,0.1715151071548462,-7203.2783203125,2300,0.0007,-69.66083,78,146,1.0147165060043335,-42.98703384399414,11500,2299
124679.234375,0.11462247371673584,-2621.31005859375,2400,0.0007,702.77496,78,152,1.0133476257324219,-42.9510383605957,12000,2399
4297.57177734375,-1.1650168895721436,2606.087158203125,2500,0.0007,0.74870163,78,158,1.0124242305755615,-42.91792297363281,12500,2499
51252.40625,0.369515597820282,-9044.5625,2600,0.0007,307.18137,79,164,1.0138401985168457,-42.958099365234375,13000,2599
72526.265625,0.23993819952011108,9828.6748046875,2700,0.0007,2.901593,79,170,1.0138661861419678,-42.961021423339844,13500,2699
121548.921875,0.14374488592147827,-8967.775390625,2800,0.0007,-13.122735,79,176,1.0146900415420532,-42.98796463012695,14000,2799
164668.0,0.17688661813735962,-3078.237548828125,2900,0.0007,-1020.6386,79,182,1.0159355401992798,-43.020530700683594,14500,2899
975.88720703125,-9.925657272338867,353.33380126953125,3000,0.0007,-16.689678,79,189,1.016546607017517,-43.0321044921875,15000,2999
4879.67431640625,0.1637190580368042,-771.1787109375,3100,0.0007,-47.35381,79,195,1.0181872844696045,-43.078487396240234,15500,3099
2006.504638671875,-10.245539665222168,1725.804931640625,3200,0.0007,-251.59312,79,201,1.017118215560913,-43.05202102661133,16000,3199
115792.9765625,0.3347212076187134,14914.2939453125,3300,0.0007,77.31511,79,207,1.0165603160858154,-43.03388214111328,16500,3299
180638.21875,0.17072606086730957,-17578.91015625,3400,0.0007,661.948,79,213,1.0185370445251465,-43.10322570800781,17000,3399
2170.815673828125,0.27256250381469727,-899.0850830078125,3500,0.0007,65.13545,77,225,1.0184218883514404,-43.087764739990234,17500,3499
8670.7568359375,0.07403182983398438,-2268.086669921875,3600,0.0007,88.913895,77,231,1.017530918121338,-43.060142517089844,18000,3599
27356.60546875,0.2692089080810547,-2874.22802734375,3700,0.0007,-0.48708054,76,242,1.0203335285186768,-43.15306854248047,18500,3699
20981.603515625,0.2791551947593689,-1262.083740234375,3800,0.0007,394.4268,76,248,1.022078275680542,-43.19760513305664,19000,3799
171124.859375,0.5248524844646454,18116.79296875,3900,0.0007,171.78297,76,255,1.0240784883499146,-43.25084686279297,19500,3899
497.1859436035156,0.6893722116947174,-260.6067810058594,4000,0.0007,-2.5253196,76,261,1.024865746498108,-43.27535629272461,20000,3999
8279.08984375,-0.09165811538696289,-651.116455078125,4100,0.0007,-300.89514,76,267,1.0264390707015991,-43.31830978393555,20500,4099
85817.53125,0.12864214181900024,2835.74267578125,4200,0.0007,46.81273,76,273,1.0268274545669556,-43.32820129394531,21000,4199
229913.46875,-0.6390116214752197,21415.1640625,4300,0.0007,1.6414223,76,282,1.0265765190124512,-43.311790466308594,21500,4299
129758.875,0.345844566822052,-12323.736328125,4400,0.0007,-644.5514,75,290,1.0252398252487183,-43.27970504760742,22000,4399
7234.7451171875,-1.12068772315979,2568.22607421875,4500,0.0007,0.23728432,75,298,1.024772047996521,-43.261375427246094,22500,4499
11876.3095703125,0.37677305936813354,797.2449951171875,4600,0.0007,0.9713531,75,305,1.0245263576507568,-43.25379180908203,23000,4599
75858.171875,0.23194634914398193,103.99736022949219,4700,0.0007,87.202225,75,311,1.0252366065979004,-43.27006149291992,23500,4699
33873.7265625,-0.04964148998260498,-2977.856201171875,4800,0.0007,-89.55761,75,319,1.0261837244033813,-43.307498931884766,24000,4799
198347.84375,0.028716862201690674,16987.814453125,4900,0.0007,530.90674,75,326,1.0275003910064697,-43.34098434448242,24500,4899
1985.1796875,0.5349742472171783,-1249.8834228515625,5000,0.0007,41.487522,75,332,1.027382731437683,-43.33869934082031,25000,4999
40786.03515625,0.34773361682891846,1003.2174072265625,5100,0.0007,53.3929,75,339,1.0289866924285889,-43.38697814941406,25500,5099
248762.296875,0.13333982229232788,17917.09375,5200,0.0007,-191.58371,75,346,1.029053807258606,-43.38458251953125,26000,5199
83045.2890625,0.08660465478897095,-1026.1070556640625,5300,0.0007,273.1608,75,352,1.0291491746902466,-43.39034652709961,26500,5299
293311.46875,0.07371211051940918,-12032.912109375,5400,0.0007,423.305,75,359,1.029220461845398,-43.38274383544922,27000,5399
20395.89453125,0.3914583921432495,-4056.221923828125,5500,0.0007,37.44775,75,365,1.029097080230713,-43.37591552734375,27500,5499
20928.060546875,0.5880846381187439,4818.74462890625,5600,0.0007,147.00232,75,371,1.029809832572937,-43.401912689208984,28000,5599
267981.375,0.16921991109848022,-19658.31640625,5700,0.0007,-266.42172,75,377,1.0300167798995972,-43.399688720703125,28500,5699
180169.03125,-0.5388237237930298,-18039.39453125,5800,0.0007,304.28387,75,384,1.028125524520874,-43.348018646240234,29000,5799
815540.875,0.2913978695869446,32881.71875,5900,0.0007,56.480904,75,390,1.0298415422439575,-43.40227127075195,29500,5899
19069.349609375,0.12242591381072998,3838.97998046875,6000,0.0007,3.0112302,75,396,1.029786467552185,-43.395751953125,30000,5999
58612.0703125,0.34839415550231934,10004.9716796875,6100,0.0007,53.272423,75,402,1.0306603908538818,-43.421241760253906,30500,6099
265972.1875,0.03257173299789429,-21063.119140625,6200,0.0007,907.27716,75,409,1.0301564931869507,-43.41242980957031,31000,6199
813797.5,-0.07767438888549805,35375.5703125,6300,0.0007,171.35165,75,415,1.0319660902023315,-43.45508575439453,31500,6299
1960813.625,-0.09235680103302002,56564.0078125,6400,0.0007,-4.741253,75,421,1.0321599245071411,-43.45477294921875,32000,6399
30948.447265625,-0.871712327003479,6760.3486328125,6500,0.0007,-3.2448995,75,427,1.0337172746658325,-43.49932098388672,32500,6499
4252.291015625,0.5549593865871429,-2090.2568359375,6600,0.0007,-2.4631822,76,433,1.0311088562011719,-43.4237174987793,33000,6599
32767.978515625,0.07497036457061768,-3765.6328125,6700,0.0007,-620.85645,76,440,1.0309017896652222,-43.41852951049805,33500,6699
577692.5625,0.17355364561080933,-21465.298828125,6800,0.0007,-441.6143,75,447,1.0348669290542603,-43.52591323852539,34000,6799
350777.5625,0.20759320259094238,-2137.55712890625,6900,0.0007,389.36185,75,454,1.0338088274002075,-43.487667083740234,34500,6899
19461.80859375,-0.37393367290496826,-4226.2880859375,7000,0.0007,-159.62167,75,460,1.0353319644927979,-43.538360595703125,35000,6999
9769.2236328125,-2.127974510192871,2712.99560546875,7100,0.0007,-516.32635,76,466,1.0360521078109741,-43.562808990478516,35500,7099
184251.65625,0.31413888931274414,-14791.814453125,7200,0.0007,42.723465,76,472,1.0363825559616089,-43.570858001708984,36000,7199
12485.296875,-0.6008569002151489,-3725.811279296875,7300,0.0007,13.435556,76,479,1.0371216535568237,-43.593406677246094,36500,7299
362145.28125,0.1589471697807312,-14366.919921875,7400,0.0007,-252.5754,76,485,1.0362541675567627,-43.57060241699219,37000,7399
15880.302734375,-0.14790558815002441,4863.2490234375,7500,0.0007,157.1808,76,491,1.0364254713058472,-43.56990432739258,37500,7499
410596.53125,-0.10255849361419678,-28853.619140625,7600,0.0007,4.932518,76,497,1.0349481105804443,-43.53791427612305,38000,7599
98397.828125,0.4120137691497803,8440.701171875,7700,0.0007,280.57877,76,503,1.033072590827942,-43.47734832763672,38500,7699
563887.25,0.0886533260345459,-26646.87890625,7800,0.0007,-339.17032,76,510,1.0326592922210693,-43.46654510498047,39000,7799
22221.353515625,0.16095399856567383,3461.858642578125,7900,0.0007,923.66547,76,516,1.0322529077529907,-43.45399475097656,39500,7899
