train/n_updates,train/explained_variance,train/entropy_loss,train/learning_rate,time/total_timesteps,train/reward,train/policy_loss,time/time_elapsed,time/fps,train/value_loss,time/iterations,train/std
3799,0.37651270627975464,-42.2088737487793,0.0007,19000,-296.11227,-10675.41796875,188,100,72074.828125,3800,0.9890215396881104
3899,0.022426366806030273,-42.249210357666016,0.0007,19500,-6.3611903,-11230.0419921875,193,100,71119.234375,3900,0.9903761148452759
3999,-6.801888465881348,-42.223812103271484,0.0007,20000,12.842221,-3461.14013671875,198,100,9313.109375,4000,0.9895783066749573
4099,0.6996406614780426,-42.17599105834961,0.0007,20500,54.413727,1099.717041015625,202,101,2370.961669921875,4100,0.9881717562675476
4199,0.5957767069339752,-42.18610763549805,0.0007,21000,0.17808862,-392.8844909667969,207,101,3666.52392578125,4200,0.988486111164093
4299,0.845342755317688,-42.21323013305664,0.0007,21500,-0.36807483,-132.3603973388672,212,101,1974.346923828125,4300,0.9894738793373108
4399,0.7364887893199921,-42.223609924316406,0.0007,22000,-4.220869,-715.61328125,217,101,761.9969482421875,4400,0.9897510409355164
4499,-1.2303552627563477,-42.198333740234375,0.0007,22500,0.15285261,520.1649169921875,222,100,2410.798828125,4500,0.9887816905975342
4599,0.5470092296600342,-42.26272964477539,0.0007,23000,-1.3264804,2199.769775390625,228,100,3989.243408203125,4600,0.9909255504608154
4699,0.46154946088790894,-42.227806091308594,0.0007,23500,133.39925,-181.50692749023438,233,100,6109.01806640625,4700,0.9898587465286255
4799,0.797926053404808,-42.242279052734375,0.0007,24000,172.3935,-1187.07958984375,239,100,2604.093017578125,4800,0.9904235601425171
4899,0.6313470900058746,-42.1021728515625,0.0007,24500,387.41238,-240.3874053955078,245,99,7629.3427734375,4900,0.9857602715492249
4999,-3.7828211784362793,-42.1365966796875,0.0007,25000,-15.047344,-3858.86572265625,251,99,10803.4306640625,5000,0.9869367480278015
5099,0.7761422991752625,-42.109214782714844,0.0007,25500,63.88012,-1369.8056640625,257,98,1200.687255859375,5100,0.9860222339630127
