date,a2c,ddpg,ppo,td3,sac
2023-05-18 10:00:00,1071758.4939940001,,,,
2023-05-18 11:00:00,1013157.0769940001,,,,
2023-05-18 12:00:00,1344960.9099940003,,,,
2023-05-18 13:00:00,1169933.4779939998,,,,
2023-05-18 14:00:00,916132.0579940001,,,,
2023-05-18 15:00:00,782118.0009940001,,,,
2023-05-19 09:00:00,1074181.9609940003,,,,
2023-05-19 10:00:00,1118291.889994,,,,
2023-05-19 11:00:00,1099173.940994,,,,
2023-05-19 12:00:00,1312269.7809940001,,,,
2023-05-19 13:00:00,1118070.019994,,,,
2023-05-19 14:00:00,1098307.146994,,,,
2023-05-19 15:00:00,1168178.900994,,,,
2023-05-22 09:00:00,1178290.6519940002,,,,
2023-05-22 10:00:00,909062.2819940001,,,,
2023-05-22 11:00:00,916331.638994,,,,
2023-05-22 12:00:00,931647.7409940001,,,,
2023-05-22 13:00:00,1177286.1959940002,,,,
2023-05-22 14:00:00,1177682.703994,,,,
2023-05-22 15:00:00,904784.4899940001,,,,
2023-05-23 09:00:00,1212625.4009940003,,,,
2023-05-23 10:00:00,1093981.207994,,,,
2023-05-23 11:00:00,1317357.329994,,,,
2023-05-23 12:00:00,1478631.656994,,,,
2023-05-23 13:00:00,1054884.764994,,,,
2023-05-23 14:00:00,1098446.062994,,,,
2023-05-23 15:00:00,1083465.987994,,,,
2023-05-24 09:00:00,1153364.069994,,,,
2023-05-24 10:00:00,1148730.904994,,,,
2023-05-24 11:00:00,893395.4859940001,,,,
2023-05-24 12:00:00,1044469.319994,,,,
2023-05-24 13:00:00,971212.5229940001,,,,
2023-05-24 14:00:00,1240045.655994,,,,
2023-05-24 15:00:00,1236648.727994,,,,
2023-05-25 09:00:00,1144129.883994,,,,
2023-05-25 10:00:00,1179868.381994,,,,
2023-05-25 11:00:00,1100245.561994,,,,
2023-05-25 12:00:00,1203145.8139940002,,,,
2023-05-25 13:00:00,1189026.772994,,,,
2023-05-25 14:00:00,1296027.888994,,,,
2023-05-25 15:00:00,1182096.9849960003,,,,
2023-05-26 09:00:00,1375501.344001,,,,
2023-05-26 10:00:00,1163237.7540010002,,,,
2023-05-26 11:00:00,902139.4590009999,,,,
2023-05-26 12:00:00,1201081.3120010002,,,,
2023-05-26 13:00:00,1119346.8910010003,,,,
2023-05-26 14:00:00,1224972.1080010005,,,,
2023-05-26 15:00:00,1207237.2440010002,,,,
2023-05-30 09:00:00,1199159.7880010004,,,,
2023-05-30 10:00:00,937581.3690010001,,,,
2023-05-30 11:00:00,1200524.9050010003,,,,
2023-05-30 12:00:00,1198992.1690010002,,,,
2023-05-30 13:00:00,920242.0190010001,,,,
2023-05-30 14:00:00,1489065.892001,,,,
2023-05-30 15:00:00,1531580.6010010003,,,,
2023-05-31 09:00:00,1200948.0010010002,,,,
2023-05-31 10:00:00,1415245.236001,,,,
2023-05-31 11:00:00,780257.660001,,,,
2023-05-31 12:00:00,922711.2030010001,,,,
2023-05-31 13:00:00,1211214.252001,,,,
2023-05-31 14:00:00,1198993.4840010002,,,,
