,date,a2c,ddpg,ppo,td3,sac
0,2023-04-26 11:00:00,,1000000.0,,,
1,2023-04-26 12:00:00,,970084.8782,,,
2,2023-04-26 13:00:00,,992460.4686000004,,,
3,2023-04-26 14:00:00,,892703.2846000001,,,
4,2023-04-26 15:00:00,,1168885.9915,,,
5,2023-04-27 09:00:00,,1042469.1149000004,,,
6,2023-04-27 10:00:00,,1093995.184351,,,
7,2023-04-27 11:00:00,,1093597.787351,,,
8,2023-04-27 12:00:00,,1002536.8903510002,,,
9,2023-04-27 13:00:00,,1128180.392351,,,
10,2023-04-27 14:00:00,,1056139.074351,,,
11,2023-04-27 15:00:00,,1101035.045351,,,
12,2023-04-28 09:00:00,,1123766.3303510002,,,
13,2023-04-28 10:00:00,,982999.8813510004,,,
14,2023-04-28 11:00:00,,974847.8533510002,,,
15,2023-04-28 12:00:00,,1129773.105351,,,
16,2023-04-28 13:00:00,,1110952.886351,,,
17,2023-04-28 14:00:00,,1125664.902351,,,
18,2023-04-28 15:00:00,,1124932.9113510002,,,
19,2023-05-01 09:00:00,,1132953.1543510002,,,
20,2023-05-01 10:00:00,,1135093.1923510002,,,
21,2023-05-01 11:00:00,,1109592.1743510002,,,
22,2023-05-01 12:00:00,,1020930.3603510004,,,
23,2023-05-01 13:00:00,,1112749.912351,,,
24,2023-05-01 14:00:00,,1062696.037351,,,
25,2023-05-01 15:00:00,,1110275.091351,,,
26,2023-05-02 09:00:00,,1102829.4023510003,,,
27,2023-05-02 10:00:00,,1008407.9333510002,,,
28,2023-05-02 11:00:00,,1052281.922351,,,
29,2023-05-02 12:00:00,,1043699.8103510004,,,
30,2023-05-02 13:00:00,,1095572.213351,,,
31,2023-05-02 14:00:00,,1132932.832351,,,
32,2023-05-02 15:00:00,,900226.6553510003,,,
33,2023-05-03 09:00:00,,1007783.3813510004,,,
34,2023-05-03 10:00:00,,1014202.8443510004,,,
35,2023-05-03 11:00:00,,1095572.3933510005,,,
36,2023-05-03 12:00:00,,1097475.260351,,,
37,2023-05-03 13:00:00,,1006362.0163510004,,,
38,2023-05-03 14:00:00,,1217195.8083510003,,,
39,2023-05-03 15:00:00,,1016730.4033510002,,,
40,2023-05-04 09:00:00,,970796.3593510004,,,
41,2023-05-04 10:00:00,,989134.0613510002,,,
42,2023-05-04 11:00:00,,1074946.0863510002,,,
43,2023-05-04 12:00:00,,1029065.7113510004,,,
44,2023-05-04 13:00:00,,1077209.6323510003,,,
45,2023-05-04 14:00:00,,1074023.0183510005,,,
46,2023-05-04 15:00:00,,995432.1673510004,,,
47,2023-05-05 09:00:00,,1045565.0223510005,,,
48,2023-05-05 10:00:00,,1035737.4783510003,,,
49,2023-05-05 11:00:00,,1084710.0673510002,,,
50,2023-05-05 12:00:00,,1120418.4043510002,,,
51,2023-05-05 13:00:00,,901342.9243510003,,,
52,2023-05-05 14:00:00,,1014810.9153510004,,,
53,2023-05-05 15:00:00,,1008089.5733510004,,,
54,2023-05-08 09:00:00,,1091362.9503510003,,,
55,2023-05-08 10:00:00,,1090553.8563510005,,,
56,2023-05-08 11:00:00,,1018114.4433510004,,,
57,2023-05-08 12:00:00,,1056916.616351,,,
58,2023-05-08 13:00:00,,1043125.3363510004,,,
59,2023-05-08 14:00:00,,1048904.8533510002,,,
60,2023-05-08 15:00:00,,1132358.1973510005,,,
61,2023-05-09 09:00:00,,930840.3093510004,,,
62,2023-05-09 10:00:00,,953025.1093510004,,,
63,2023-05-09 11:00:00,,1041680.8583510002,,,
64,2023-05-09 12:00:00,,1092306.7023510002,,,
65,2023-05-09 13:00:00,,1129103.5553510005,,,
66,2023-05-09 14:00:00,,914362.9343510004,,,
67,2023-05-09 15:00:00,,985900.8973510005,,,
68,2023-05-10 09:00:00,,1207451.8293510005,,,
69,2023-05-10 10:00:00,,1016677.1033510003,,,
70,2023-05-10 11:00:00,,909865.8463510002,,,
71,2023-05-10 12:00:00,,1219597.411351,,,
