Time,Open,High,Low,Close,Volume
2023-08-30 15:00:00,494.9900,495.7200,490.0300,490.5340,4052372
2023-08-30 14:00:00,496.2000,496.7700,490.8000,491.0800,5617163
2023-08-30 13:00:00,497.1700,499.0100,496.7500,498.0350,2977635
2023-08-30 12:00:00,495.1240,497.5000,494.8400,496.7500,3356314
2023-08-30 11:00:00,495.7570,497.6600,493.8500,494.9590,5703134
2023-08-30 10:00:00,489.6300,493.9300,486.3800,488.6600,7346578
2023-08-30 09:00:00,490.4400,495.0000,484.2500,489.5100,11364028
2023-08-29 15:00:00,489.1800,489.8500,488.2600,489.0100,2836156
2023-08-29 14:00:00,489.0000,490.5800,488.0600,489.6540,2927827
2023-08-29 13:00:00,488.2670,489.4830,487.1670,489.2400,2907063
2023-08-29 12:00:00,485.9600,489.2000,484.6100,488.4200,4477300
2023-08-29 11:00:00,482.3200,484.8400,481.3300,484.0800,4060780
2023-08-29 10:00:00,473.7860,482.4500,473.7860,481.5000,9394772
2023-08-29 09:00:00,466.6600,473.8900,463.9100,473.7150,9196741
2023-08-28 15:00:00,468.2900,468.8500,464.6100,465.8050,3769768
2023-08-28 14:00:00,464.9350,467.3700,464.3100,466.4800,3471455
2023-08-28 13:00:00,463.5030,468.5990,463.4000,467.8800,5873988
2023-08-28 12:00:00,457.4100,459.2800,450.0000,458.8500,2594943
2023-08-28 11:00:00,455.7200,460.2400,455.0600,458.8800,4555874
2023-08-28 10:00:00,453.6550,456.8600,452.6620,456.4100,5697426
2023-08-28 09:00:00,464.8200,464.9850,448.8800,453.7790,11232842
2023-08-25 15:00:00,461.8900,463.6400,460.3570,461.2800,5608096
2023-08-25 14:00:00,453.6800,459.5500,453.0000,459.3900,4427668
2023-08-25 13:00:00,454.3300,456.6810,452.3400,453.6000,3830422
2023-08-25 12:00:00,451.3100,454.7500,450.6160,454.4500,5633358
2023-08-25 11:00:00,453.1500,460.7200,453.0000,458.1600,9556493
2023-08-25 10:00:00,470.1700,478.0500,466.9700,470.5950,9565028
2023-08-25 09:00:00,470.1200,474.6600,462.3700,470.2500,12108602
2023-08-24 15:00:00,480.5500,481.1000,474.1100,474.4400,5784744
2023-08-24 14:00:00,484.5000,486.9750,484.2600,484.6750,3539861
2023-08-24 13:00:00,485.3000,487.6100,481.8390,483.3700,4534538
2023-08-24 12:00:00,479.1700,485.5000,478.5400,484.3800,5946044
2023-08-24 11:00:00,478.2000,480.5000,474.7000,479.8200,8191567
2023-08-24 10:00:00,483.5700,490.4600,480.2700,480.2760,12074840
2023-08-24 09:00:00,502.1600,502.6600,480.6300,483.4500,25253154
2023-08-23 15:00:00,468.7250,470.4900,467.3130,469.3900,3895191
2023-08-23 14:00:00,469.8700,470.3700,468.3800,469.2220,2755671
2023-08-23 13:00:00,465.6970,468.0000,464.7000,467.8800,2671762
2023-08-23 12:00:00,468.7200,469.0800,465.8900,466.9690,2746081
2023-08-23 11:00:00,466.8850,467.8000,465.0600,465.7700,3469232
2023-08-23 10:00:00,459.7100,466.0000,457.8400,463.3600,7227205
2023-08-23 09:00:00,458.6600,463.1200,452.0800,459.7860,9528673
2023-08-22 15:00:00,458.2600,470.7150,456.3800,457.1300,4040732
2023-08-22 14:00:00,457.6600,459.8600,454.5500,459.5400,2858500
2023-08-22 13:00:00,457.6990,458.3560,455.1100,456.4850,2942777
2023-08-22 12:00:00,457.1880,458.3000,453.3310,456.0800,4413134
2023-08-22 11:00:00,465.3600,465.8200,458.8000,459.2300,4754205
2023-08-22 10:00:00,462.9250,469.9500,460.3800,460.8000,9064379
2023-08-22 09:00:00,481.3500,481.8700,462.1000,462.8110,15500124
2023-08-21 15:00:00,464.4400,469.0000,464.4100,468.0150,5484873
2023-08-21 14:00:00,460.3500,463.0890,460.1100,462.4000,5170121
2023-08-21 13:00:00,457.6900,461.6900,457.0500,460.8630,4105067
2023-08-21 12:00:00,452.5500,456.5600,452.5300,456.3500,3576137
