Time,Open,High,Low,Close,Volume
2023-08-30 15:00:00,492.4000,492.7900,492.0500,492.3850,133373
2023-08-30 14:00:00,493.3450,494.0400,492.8600,492.8600,95483
2023-08-30 13:00:00,495.6600,495.9300,493.8500,494.1700,79877
2023-08-30 12:00:00,494.6140,495.3450,494.3700,495.1600,57155
2023-08-30 11:00:00,493.7400,494.0600,493.0700,493.7850,64481
2023-08-30 10:00:00,496.3900,496.7100,494.7000,494.8000,116806
2023-08-30 09:00:00,493.9900,496.5000,493.3650,496.4300,131835
2023-08-29 15:00:00,490.8200,491.6200,490.2900,491.5200,122507
2023-08-29 14:00:00,492.0900,492.4700,491.0900,491.2000,71226
2023-08-29 13:00:00,491.2350,491.8100,490.8700,491.2350,61270
2023-08-29 12:00:00,490.7950,491.3200,490.5250,491.2900,117212
2023-08-29 11:00:00,489.1250,489.3600,488.4550,489.1150,80773
2023-08-29 10:00:00,491.3900,491.9400,490.0850,490.0850,105013
2023-08-29 09:00:00,491.4700,492.4700,490.3600,491.4000,140887
2023-08-28 15:00:00,490.6000,490.9900,490.0800,490.5500,70014
2023-08-28 14:00:00,489.5400,489.7700,489.1300,489.1700,52783
2023-08-28 13:00:00,490.7000,491.0100,490.3000,490.8700,75896
2023-08-28 12:00:00,491.6350,492.1400,490.6020,490.9200,69423
2023-08-28 11:00:00,491.5700,491.6000,490.3800,491.2000,64580
2023-08-28 10:00:00,492.7000,493.0580,491.5400,491.8700,83985
2023-08-28 09:00:00,490.4900,492.9500,490.0400,492.7950,178255
2023-08-25 15:00:00,489.9800,490.2400,489.1400,489.3400,101554
2023-08-25 14:00:00,489.1700,489.9900,488.8000,489.7500,57315
2023-08-25 13:00:00,489.9130,489.9130,487.8300,488.0800,62468
2023-08-25 12:00:00,489.2100,490.6300,489.1500,490.6300,66191
2023-08-25 11:00:00,486.5800,489.2600,486.3900,489.2600,88226
2023-08-25 10:00:00,487.5100,489.0000,485.5900,486.0300,164245
2023-08-25 09:00:00,489.9200,489.9400,485.4430,486.9500,178981
2023-08-24 15:00:00,487.9900,489.7300,487.7410,488.4900,173693
2023-08-24 14:00:00,488.3200,488.5800,487.5050,488.0900,109604
2023-08-24 13:00:00,489.0900,489.4650,488.0750,488.1400,91345
2023-08-24 12:00:00,489.1800,489.7000,488.9560,489.1800,76146
2023-08-24 11:00:00,491.2500,491.2500,489.7000,490.7000,128782
2023-08-24 10:00:00,495.4200,495.4200,492.4100,492.5950,128114
2023-08-24 09:00:00,491.4300,495.4100,488.2450,495.3500,200679
2023-08-23 15:00:00,489.3450,490.1300,489.0800,490.0100,103756
2023-08-23 14:00:00,490.3200,490.7350,489.3650,489.7250,86306
2023-08-23 13:00:00,489.3600,490.5300,489.2500,490.2800,79321
2023-08-23 12:00:00,489.0200,490.1600,488.8750,489.7700,72834
2023-08-23 11:00:00,489.3500,490.0500,488.6200,489.5700,82310
2023-08-23 10:00:00,491.0900,492.0000,488.7100,488.9400,121144
2023-08-23 09:00:00,493.0000,494.0000,490.7500,490.7800,128445
2023-08-22 15:00:00,492.6700,493.8800,492.5800,493.0200,81291
2023-08-22 14:00:00,491.7500,492.1180,491.4680,492.0450,60814
2023-08-22 13:00:00,492.7000,492.7100,491.3300,491.6900,88425
2023-08-22 12:00:00,492.2000,493.1300,491.5000,492.0560,114113
2023-08-22 11:00:00,492.8550,493.1700,491.7700,492.5500,120148
2023-08-22 10:00:00,494.6900,496.3900,493.4000,493.9950,146228
2023-08-22 09:00:00,495.4200,496.7900,494.1600,494.7300,221437
2023-08-21 15:00:00,497.9700,498.3000,497.1400,497.3100,79218
2023-08-21 14:00:00,497.5100,498.2600,497.3600,497.9300,72347
2023-08-21 13:00:00,497.6100,498.0800,497.4200,497.7300,54565
2023-08-21 12:00:00,496.7300,497.6800,496.2700,497.6800,60124
