Time,Open,High,Low,Close,Volume
2023-08-30 15:00:00,136.0800,136.1700,135.6520,135.8050,1403133
2023-08-30 14:00:00,135.4350,135.7000,135.2200,135.6000,1193473
2023-08-30 13:00:00,135.0850,135.4200,134.9200,135.2950,1048403
2023-08-30 12:00:00,135.2950,135.6100,135.1900,135.2450,963924
2023-08-30 11:00:00,135.7000,135.7200,134.8000,135.1250,1349111
2023-08-30 10:00:00,135.3700,135.9400,134.5300,134.9500,2984886
2023-08-30 09:00:00,134.7800,135.3900,134.0700,135.3600,3959461
2023-08-29 15:00:00,134.4450,134.9900,134.2700,134.9890,1558779
2023-08-29 14:00:00,133.9600,134.5300,133.9290,134.4400,1534925
2023-08-29 13:00:00,134.5800,134.7100,134.1000,134.3600,1863447
2023-08-29 12:00:00,136.2800,136.3000,134.7900,135.3700,4142261
2023-08-29 11:00:00,135.3200,135.8390,135.0600,135.6600,2848482
2023-08-29 10:00:00,132.9500,134.1400,132.9150,133.9400,3730970
2023-08-29 09:00:00,132.2400,133.5000,132.2400,132.9400,4810895
2023-08-28 15:00:00,130.9300,131.1600,130.6600,130.8000,888387
2023-08-28 14:00:00,130.2500,130.6300,130.2350,130.5900,742375
2023-08-28 13:00:00,131.1400,131.3900,130.7500,130.8650,763986
2023-08-28 12:00:00,130.4600,130.6350,130.3000,130.5250,699927
2023-08-28 11:00:00,130.8350,130.8800,130.2600,130.3500,1029925
2023-08-28 10:00:00,131.3500,131.7880,131.0900,131.7050,1454764
2023-08-28 09:00:00,131.3100,132.5400,130.7900,131.3420,3323323
2023-08-25 15:00:00,129.7800,130.1800,129.5450,130.1300,1103090
2023-08-25 14:00:00,128.8400,129.6600,128.6500,129.6200,958499
2023-08-25 13:00:00,128.8300,128.9600,128.3750,128.6000,915162
2023-08-25 12:00:00,128.1200,128.7380,128.0300,128.7100,1077617
2023-08-25 11:00:00,127.4900,128.4100,127.2500,128.3600,2288631
2023-08-25 10:00:00,129.5700,130.7600,128.8700,129.1100,3278647
2023-08-25 09:00:00,129.5400,129.7550,128.7200,129.5500,2174813
2023-08-24 15:00:00,130.6950,130.8500,130.4550,130.5290,1151041
2023-08-24 14:00:00,130.9100,131.2000,130.7950,130.8600,889050
2023-08-24 13:00:00,131.0900,131.3100,130.8500,130.9700,776073
2023-08-24 12:00:00,130.1900,131.3300,130.1550,131.1700,1289429
2023-08-24 11:00:00,131.7500,131.8400,131.2620,131.3350,1886521
2023-08-24 10:00:00,132.8050,132.9700,131.9200,131.9550,1719493
2023-08-24 09:00:00,133.9500,134.2500,132.2600,132.8000,3377782
2023-08-23 15:00:00,132.9500,133.0900,132.8000,133.0350,1217342
2023-08-23 14:00:00,133.1500,133.1770,132.6800,133.0450,1036763
2023-08-23 13:00:00,132.2000,132.8800,132.1600,132.8550,894860
2023-08-23 12:00:00,132.5850,132.6600,132.2000,132.2200,885771
2023-08-23 11:00:00,132.7600,132.8100,132.4000,132.6000,1093374
2023-08-23 10:00:00,132.2500,132.5100,131.9100,132.4500,2262004
2023-08-23 09:00:00,130.1800,132.3600,129.8700,132.2400,4544916
2023-08-22 15:00:00,129.1450,129.4800,128.8400,128.9550,1088184
2023-08-22 14:00:00,129.1200,129.2100,128.8000,129.1800,715074
2023-08-22 13:00:00,129.4850,129.5900,128.8700,129.0700,960590
2023-08-22 12:00:00,129.7900,129.9450,129.2700,129.5200,1208417
2023-08-22 11:00:00,129.9400,130.2780,129.8100,130.1000,1032741
2023-08-22 10:00:00,128.9800,129.7900,128.8100,129.4900,2532857
2023-08-22 09:00:00,128.5100,129.4250,128.3200,128.9900,3093126
2023-08-21 15:00:00,128.5500,128.7000,128.3600,128.4100,969140
2023-08-21 14:00:00,128.3300,128.5400,127.2900,128.2700,867921
2023-08-21 13:00:00,127.6800,128.1350,127.5050,127.9700,754422
2023-08-21 12:00:00,126.9300,127.5700,126.8900,127.4950,843345
