Time,Open,High,Low,Close,Volume
2023-08-30 15:00:00,34.5900,34.6600,34.5200,34.5450,1508526
2023-08-30 14:00:00,34.4600,34.5200,34.3600,34.4300,1080055
2023-08-30 13:00:00,34.5500,34.5500,34.3910,34.4600,1032015
2023-08-30 12:00:00,34.4700,34.5700,34.4600,34.5550,1094382
2023-08-30 11:00:00,34.3330,34.3350,34.2000,34.2700,847547
2023-08-30 10:00:00,34.2200,34.3100,33.9700,34.0600,1179525
2023-08-30 09:00:00,34.0600,34.2500,33.7750,34.2200,2283251
2023-08-29 15:00:00,34.2350,34.3600,34.1800,34.3150,1907343
2023-08-29 14:00:00,34.3200,34.3500,34.2200,34.2350,1197104
2023-08-29 13:00:00,34.3400,34.4300,34.3150,34.3300,1068995
2023-08-29 12:00:00,34.3600,34.4100,34.3100,34.3700,1031348
2023-08-29 11:00:00,34.2200,34.4700,34.2200,34.4000,1791393
2023-08-29 10:00:00,33.8800,34.2500,33.8610,34.2150,2276782
2023-08-29 09:00:00,33.4900,33.9350,33.4700,33.8770,1542249
2023-08-28 15:00:00,33.4150,33.4700,33.3650,33.4450,892281
2023-08-28 14:00:00,33.3400,33.4500,33.3350,33.4400,691927
2023-08-28 13:00:00,33.5900,33.6900,33.5400,33.5800,855281
2023-08-28 12:00:00,33.2800,33.3800,33.2500,33.3400,1564697
2023-08-28 11:00:00,33.4300,33.5000,33.3050,33.3320,951422
2023-08-28 10:00:00,33.6950,33.7800,33.4810,33.7500,1378814
2023-08-28 09:00:00,33.5000,33.7300,33.4810,33.6950,2115440
2023-08-25 15:00:00,33.3300,33.3950,33.2600,33.3200,1571051
2023-08-25 14:00:00,33.0250,33.2900,32.9950,33.2850,1047848
2023-08-25 13:00:00,33.0490,33.0850,32.9550,33.0200,1048850
2023-08-25 12:00:00,32.7200,32.9450,32.6800,32.9350,1231714
2023-08-25 11:00:00,32.3800,32.9350,32.3700,32.9200,2072067
2023-08-25 10:00:00,32.7550,33.0800,32.5500,32.5950,2128884
2023-08-25 09:00:00,32.5300,32.8550,32.5300,32.7500,1858690
2023-08-24 15:00:00,32.8000,32.8300,32.5900,32.6140,2078373
2023-08-24 14:00:00,32.7950,32.9400,32.7950,32.9100,958168
2023-08-24 13:00:00,33.0400,33.0500,32.7900,32.7950,957198
2023-08-24 12:00:00,32.8050,33.0350,32.7900,32.9880,1592482
2023-08-24 11:00:00,33.1600,33.1650,32.9350,33.1300,2190367
2023-08-24 10:00:00,33.9900,34.0300,33.4300,33.4300,2288350
2023-08-24 09:00:00,33.7200,34.0900,33.5800,33.9850,3715770
2023-08-23 15:00:00,33.9300,34.1500,33.9000,34.1450,1987916
2023-08-23 14:00:00,33.8700,33.9300,33.8400,33.8700,1242132
2023-08-23 13:00:00,33.6650,33.7650,33.6200,33.7650,1420831
2023-08-23 12:00:00,33.8900,33.8950,33.7100,33.7110,919693
2023-08-23 11:00:00,33.7850,33.9500,33.7150,33.8450,1701524
2023-08-23 10:00:00,33.3850,33.7000,33.3100,33.6150,1853166
2023-08-23 09:00:00,32.8800,33.4900,32.8000,33.3800,2460019
2023-08-22 15:00:00,33.0200,33.1300,33.0000,33.0250,1120400
2023-08-22 14:00:00,32.9050,33.0350,32.8300,33.0300,796249
2023-08-22 13:00:00,33.1100,33.1200,32.9300,32.9700,838171
2023-08-22 12:00:00,33.2100,33.2450,33.0300,33.1000,1017215
2023-08-22 11:00:00,33.4500,33.5300,33.3250,33.5050,1812216
2023-08-22 10:00:00,33.3400,33.8000,33.3350,33.4300,2352952
2023-08-22 09:00:00,33.2200,33.7700,33.1700,33.3400,3118171
2023-08-21 15:00:00,32.7790,33.0400,32.7700,32.9850,2603286
2023-08-21 14:00:00,32.6090,32.6700,32.5700,32.6550,1572152
2023-08-21 13:00:00,32.4700,32.5500,32.4200,32.5350,1750867
2023-08-21 12:00:00,32.2100,32.4000,32.2100,32.4000,1629557
