Time,Open,High,Low,Close,Volume
2023-08-30 15:00:00,84.0450,84.1600,84.0400,84.1200,550742
2023-08-30 14:00:00,84.0200,84.0400,83.8800,83.9480,472409
2023-08-30 13:00:00,84.2950,84.3350,84.1000,84.1150,402082
2023-08-30 12:00:00,84.2500,84.4300,84.2350,84.2850,501733
2023-08-30 11:00:00,84.2950,84.3100,84.0850,84.3100,516426
2023-08-30 10:00:00,84.5700,84.6040,83.8300,83.8800,966012
2023-08-30 09:00:00,84.4000,84.6800,84.1100,84.5750,996270
2023-08-29 15:00:00,84.3300,84.3900,84.2450,84.3900,553594
2023-08-29 14:00:00,84.3900,84.3900,84.2300,84.2930,497837
2023-08-29 13:00:00,84.3500,84.3600,84.2650,84.3000,463645
2023-08-29 12:00:00,84.3130,84.5350,84.3000,84.4900,605858
2023-08-29 11:00:00,84.2750,84.3250,84.0500,84.3150,930816
2023-08-29 10:00:00,84.0500,84.2500,83.9500,84.1450,902594
2023-08-29 09:00:00,83.7900,84.2400,83.7300,84.0500,1441173
2023-08-28 15:00:00,83.8700,83.9200,83.7200,83.8600,659787
2023-08-28 14:00:00,84.1400,84.1660,83.9400,83.9750,597869
2023-08-28 13:00:00,84.3650,84.4700,84.1300,84.1300,682954
2023-08-28 12:00:00,84.1800,84.3400,84.0950,84.1400,680413
2023-08-28 11:00:00,84.3870,84.3890,84.0100,84.1400,878907
2023-08-28 10:00:00,84.0200,84.5800,83.9800,84.5560,1165981
2023-08-28 09:00:00,83.8300,84.1000,83.5300,84.0160,1584667
2023-08-25 15:00:00,83.2300,83.3750,83.1300,83.3300,837536
2023-08-25 14:00:00,82.9300,83.1550,82.7800,83.1200,771548
2023-08-25 13:00:00,83.0580,83.1250,82.8000,82.8350,622129
2023-08-25 12:00:00,82.8600,83.3300,82.8500,83.3000,673986
2023-08-25 11:00:00,82.8200,83.0900,82.6610,83.0700,926161
2023-08-25 10:00:00,83.2300,83.6500,82.7000,82.7950,2043600
2023-08-25 09:00:00,83.0700,83.5800,83.0300,83.2200,2441128
2023-08-24 15:00:00,82.8100,82.8900,82.7000,82.7650,1320716
2023-08-24 14:00:00,82.7390,82.8670,82.6300,82.7300,1576683
2023-08-24 13:00:00,83.1300,83.1550,82.8800,82.9400,1966182
2023-08-24 12:00:00,83.1050,83.2550,83.0500,83.1700,935352
2023-08-24 11:00:00,83.6250,83.6400,83.0200,83.1100,3016518
2023-08-24 10:00:00,85.2200,85.2950,84.3000,84.3000,2361149
2023-08-24 09:00:00,85.5100,85.9500,84.8650,85.2300,2559883
2023-08-23 15:00:00,85.9700,86.0100,85.8350,85.8900,421499
2023-08-23 14:00:00,86.2500,86.2500,85.9400,85.9450,470078
2023-08-23 13:00:00,86.0010,86.2150,86.0000,86.1850,341225
2023-08-23 12:00:00,86.1500,86.1900,86.0780,86.1000,304756
2023-08-23 11:00:00,86.2650,86.3250,86.1850,86.2550,572816
2023-08-23 10:00:00,86.1000,86.2600,86.0340,86.1250,511037
2023-08-23 09:00:00,85.8100,86.2000,85.6350,86.1000,871300
2023-08-22 15:00:00,85.6800,86.0400,85.6800,85.8400,1086123
2023-08-22 14:00:00,85.5400,85.7600,85.4900,85.7400,332304
2023-08-22 13:00:00,85.6020,85.6200,85.3700,85.5450,841502
2023-08-22 12:00:00,85.7400,85.7430,85.4810,85.5450,501201
2023-08-22 11:00:00,85.9250,85.9950,85.8200,85.8750,425529
2023-08-22 10:00:00,85.8000,85.9300,85.7000,85.7250,499465
2023-08-22 09:00:00,85.7100,86.0910,85.6500,85.8100,1470786
2023-08-21 15:00:00,85.8170,86.0000,85.8100,85.8700,582112
2023-08-21 14:00:00,85.6950,85.8400,85.5500,85.6400,527616
2023-08-21 13:00:00,85.5830,85.6550,85.4800,85.6050,386627
2023-08-21 12:00:00,85.5100,85.6700,85.4300,85.6400,440657
