Time,Open,High,Low,Close,Volume
2023-08-30 15:00:00,164.2800,164.5500,164.1400,164.3300,695264
2023-08-30 14:00:00,164.6100,164.6800,164.2700,164.2900,401024
2023-08-30 13:00:00,164.8550,165.0350,164.8200,164.8300,285203
2023-08-30 12:00:00,164.4700,164.8500,164.3300,164.7200,291156
2023-08-30 11:00:00,164.2800,164.4000,163.8900,164.3900,502945
2023-08-30 10:00:00,165.1100,165.2300,163.9600,163.9610,719987
2023-08-30 09:00:00,165.1100,165.8300,164.6000,165.1200,1069017
2023-08-29 15:00:00,163.4700,163.9900,163.3600,163.9600,702661
2023-08-29 14:00:00,163.5700,163.5900,163.3700,163.4500,375753
2023-08-29 13:00:00,163.5300,163.9100,163.3600,163.7300,326651
2023-08-29 12:00:00,162.9700,163.2900,162.9200,163.2400,521570
2023-08-29 11:00:00,163.6100,163.6100,162.7700,163.1000,734427
2023-08-29 10:00:00,164.7800,164.9100,163.9600,164.0500,689006
2023-08-29 09:00:00,164.8700,165.6800,164.3700,164.7700,891363
2023-08-28 15:00:00,163.5500,164.1000,163.5250,164.0300,463831
2023-08-28 14:00:00,163.3200,163.5550,163.2100,163.3100,651244
2023-08-28 13:00:00,163.8500,164.1600,163.5200,163.5800,1230477
2023-08-28 12:00:00,164.0500,164.0600,163.6000,163.9200,1357247
2023-08-28 11:00:00,164.9700,164.9950,163.9300,164.0830,1030715
2023-08-28 10:00:00,165.8100,165.8800,165.1500,165.2600,1121192
2023-08-28 09:00:00,165.0000,166.2100,164.8200,165.7900,825558
2023-08-25 15:00:00,167.6500,167.7600,166.2400,166.2800,1323138
2023-08-25 14:00:00,167.1850,167.7050,167.1100,167.6400,1007045
2023-08-25 13:00:00,166.9300,167.1400,166.7400,166.8600,593899
2023-08-25 12:00:00,166.7900,167.3900,166.7700,167.1900,704637
2023-08-25 11:00:00,165.6500,166.3900,165.4200,166.3650,707950
2023-08-25 10:00:00,164.7500,165.0700,164.3700,164.9650,726493
2023-08-25 09:00:00,164.3000,165.1900,164.0600,164.8000,1381924
2023-08-24 15:00:00,164.3540,164.6220,164.2080,164.5890,2471302
2023-08-24 14:00:00,164.1050,164.3740,164.0400,164.1270,1267891
2023-08-24 13:00:00,163.6390,163.8470,163.5930,163.6950,638196
2023-08-24 12:00:00,163.7880,164.0260,163.7220,163.8440,722772
2023-08-24 11:00:00,164.0610,164.3640,163.8910,164.1320,1587729
2023-08-24 10:00:00,165.2770,165.3860,163.7370,163.9630,4563792
2023-08-24 09:00:00,162.8540,165.4760,162.6800,165.2690,1823763
2023-08-23 15:00:00,162.5760,162.6660,162.2920,162.5830,3406913
2023-08-23 14:00:00,162.9340,163.1620,162.8290,162.8710,3305230
2023-08-23 13:00:00,163.0430,163.7780,163.0220,163.6850,1445755
2023-08-23 12:00:00,162.8500,163.1720,162.6700,162.7920,7062836
2023-08-23 11:00:00,163.7530,163.7980,163.1210,163.1770,2950331
2023-08-23 10:00:00,164.2440,164.6720,163.6920,163.8320,15615093
2023-08-23 09:00:00,164.7110,165.3070,164.2280,164.2310,5585304
2023-08-22 15:00:00,165.6540,166.0220,165.3010,165.3830,1687405
2023-08-22 14:00:00,165.5300,165.7340,165.3300,165.4130,1532941
2023-08-22 13:00:00,166.1610,166.1660,165.3010,165.3530,2641492
2023-08-22 12:00:00,165.6990,165.8830,165.5290,165.8350,8799449
2023-08-22 11:00:00,165.5150,165.8030,165.3600,165.6710,4414363
2023-08-22 10:00:00,165.7140,166.6370,165.7080,166.1770,2714687
2023-08-22 09:00:00,165.6640,166.5080,164.8640,165.7110,2023952
2023-08-21 15:00:00,166.4390,167.2980,166.3930,166.8620,6398332
2023-08-21 14:00:00,166.6970,167.3220,166.3330,166.8820,7327595
2023-08-21 13:00:00,167.7590,168.0370,167.3060,167.8110,8257288
2023-08-21 12:00:00,166.7360,168.2850,166.6410,168.1730,5379089
