Time,Open,High,Low,Close,Volume
2023-08-30 15:00:00,113.2300,113.4600,113.2240,113.3350,188208
2023-08-30 14:00:00,112.8700,113.1200,112.7100,112.8100,145697
2023-08-30 13:00:00,113.1000,113.1400,112.8600,112.9500,133181
2023-08-30 12:00:00,113.1200,113.4300,113.0900,113.1800,223662
2023-08-30 11:00:00,112.6000,112.8000,112.3600,112.7300,341830
2023-08-30 10:00:00,112.5000,112.7800,111.6700,111.9850,374612
2023-08-30 09:00:00,112.5600,112.7800,111.8200,112.4700,689152
2023-08-29 15:00:00,113.0310,113.1920,112.8940,113.1370,367303
2023-08-29 14:00:00,112.7630,112.8540,112.6300,112.7100,255184
2023-08-29 13:00:00,112.6740,112.9040,112.6110,112.7990,200251
2023-08-29 12:00:00,112.1920,112.5430,112.1140,112.5000,215482
2023-08-29 11:00:00,111.4920,112.3280,111.4690,112.1090,290993
2023-08-29 10:00:00,110.6280,111.6920,110.6250,111.6780,628901
2023-08-29 09:00:00,109.7440,110.9870,109.7410,110.6150,543866
2023-08-28 15:00:00,110.4690,110.7290,110.3470,110.3860,206591
2023-08-28 14:00:00,109.9230,110.3810,109.9200,110.3670,137531
2023-08-28 13:00:00,110.7070,110.9280,110.5950,110.6550,156220
2023-08-28 12:00:00,110.4390,110.4410,110.1180,110.1480,113800
2023-08-28 11:00:00,110.4890,110.7090,110.3530,110.3960,244859
2023-08-28 10:00:00,110.7870,110.9080,110.3620,110.9030,272162
2023-08-28 09:00:00,110.5190,111.4040,110.3170,110.7740,490687
2023-08-25 15:00:00,109.4460,109.7460,109.2050,109.5520,421315
2023-08-25 14:00:00,108.6120,109.4080,108.5300,109.3930,201455
2023-08-25 13:00:00,108.7810,108.9810,108.4200,108.6390,244833
2023-08-25 12:00:00,108.3240,108.8420,108.2520,108.8370,208603
2023-08-25 11:00:00,107.3610,108.8970,107.3480,108.8420,553863
2023-08-25 10:00:00,108.4430,109.2200,107.6460,107.8350,449508
2023-08-25 09:00:00,108.1260,108.8820,108.0930,108.4400,329167
2023-08-24 15:00:00,108.4430,108.5440,108.1030,108.1220,390599
2023-08-24 14:00:00,108.6420,109.0210,108.6290,108.7880,174534
2023-08-24 13:00:00,109.0390,109.1200,108.5490,108.6090,217300
2023-08-24 12:00:00,108.7710,109.2100,108.6490,109.0760,336520
2023-08-24 11:00:00,110.0620,110.0640,109.4930,109.6220,385480
2023-08-24 10:00:00,111.3130,111.4640,110.3370,110.3370,473292
2023-08-24 09:00:00,111.3730,111.7810,110.7640,111.2900,660000
2023-08-23 15:00:00,110.2310,110.6590,110.1780,110.6350,343558
2023-08-23 14:00:00,110.3650,110.4010,110.0980,110.1830,202027
2023-08-23 13:00:00,109.9930,110.2720,109.9590,110.1680,275755
2023-08-23 12:00:00,110.4000,110.4010,110.0390,110.2770,228489
2023-08-23 11:00:00,110.5290,110.7490,110.4310,110.5650,271697
2023-08-23 10:00:00,110.0720,110.6590,109.9890,110.4610,364890
2023-08-23 09:00:00,108.5730,110.1230,108.0830,110.0690,520793
2023-08-22 15:00:00,108.8110,109.1600,108.7670,108.8370,283850
2023-08-22 14:00:00,108.8610,109.0110,108.7380,109.0060,146499
2023-08-22 13:00:00,108.9850,109.0810,108.7480,109.0560,171082
2023-08-22 12:00:00,109.1880,109.2590,108.7880,108.9070,194029
2023-08-22 11:00:00,109.6750,109.7060,109.2840,109.5620,246972
2023-08-22 10:00:00,109.8440,110.1830,109.5920,109.6120,282211
2023-08-22 09:00:00,110.6880,111.0570,109.6420,109.8110,505969
2023-08-21 15:00:00,109.8090,110.1830,109.8060,109.8800,368022
2023-08-21 14:00:00,109.6550,109.8650,109.6120,109.6810,213301
2023-08-21 13:00:00,109.0490,109.6910,109.0360,109.6120,215355
2023-08-21 12:00:00,108.3540,109.0710,108.2320,109.0360,339254
