Time,Open,High,Low,Close,Volume
2023-08-30 15:00:00,146.7500,146.8660,146.7200,146.7600,133480
2023-08-30 14:00:00,146.6700,146.7600,146.5750,146.6050,107743
2023-08-30 13:00:00,146.6300,146.7000,146.5600,146.6100,124827
2023-08-30 12:00:00,146.5300,146.6000,146.2400,146.4000,106327
2023-08-30 11:00:00,146.0700,146.3600,145.9000,146.3200,129356
2023-08-30 10:00:00,146.5500,146.5900,145.7450,145.8500,133756
2023-08-30 09:00:00,146.4200,146.7300,146.1500,146.5400,201006
2023-08-29 15:00:00,146.2700,146.5000,146.1500,146.5000,136434
2023-08-29 14:00:00,146.1500,146.3700,146.0400,146.2600,160414
2023-08-29 13:00:00,146.2500,146.4400,146.1600,146.2500,68689
2023-08-29 12:00:00,146.1430,146.3500,146.1000,146.3010,104930
2023-08-29 11:00:00,145.9300,146.0400,145.6200,145.9850,175072
2023-08-29 10:00:00,146.1100,146.6700,146.1100,146.3900,129452
2023-08-29 09:00:00,146.3000,146.5000,145.8850,146.0800,175828
2023-08-28 15:00:00,146.0500,146.1750,145.8500,145.9700,125384
2023-08-28 14:00:00,146.0800,146.2000,146.0400,146.0900,91400
2023-08-28 13:00:00,146.5900,146.7400,146.4100,146.4400,135077
2023-08-28 12:00:00,145.9800,146.3030,145.9400,146.2700,120260
2023-08-28 11:00:00,145.8950,145.9200,145.7000,145.8100,109050
2023-08-28 10:00:00,146.4500,146.4700,146.1930,146.2800,186268
2023-08-28 09:00:00,145.4100,146.6200,145.2100,146.4350,417490
2023-08-25 15:00:00,145.3200,145.4700,145.1800,145.4100,278609
2023-08-25 14:00:00,144.9100,145.3900,144.8200,145.3100,238462
2023-08-25 13:00:00,144.7500,144.8200,144.4950,144.6600,112389
2023-08-25 12:00:00,144.3800,144.7700,144.2600,144.7400,105174
2023-08-25 11:00:00,143.6700,144.4000,143.5400,144.3700,152595
2023-08-25 10:00:00,144.7300,144.8700,143.5500,143.6900,202852
2023-08-25 09:00:00,144.1800,145.2600,144.1200,144.7600,431768
2023-08-24 15:00:00,144.1000,144.3600,144.0600,144.2550,268842
2023-08-24 14:00:00,143.8000,144.0000,143.7050,143.9300,135042
2023-08-24 13:00:00,143.9300,144.0500,143.4800,143.6250,154648
2023-08-24 12:00:00,143.5100,143.7700,143.4750,143.5290,77123
2023-08-24 11:00:00,143.3900,143.6700,143.2200,143.6400,167055
2023-08-24 10:00:00,144.4000,144.4700,143.6000,143.7600,131288
2023-08-24 09:00:00,143.5050,144.3800,143.5050,144.3800,266814
2023-08-23 15:00:00,143.0500,143.2380,142.9300,143.2250,100224
2023-08-23 14:00:00,143.3400,143.3500,143.1400,143.1590,279227
2023-08-23 13:00:00,142.9000,143.3300,142.9000,143.2600,64971
2023-08-23 12:00:00,142.8000,142.8400,142.6930,142.8100,90495
2023-08-23 11:00:00,142.7700,143.0600,142.6700,142.9150,145569
2023-08-23 10:00:00,142.1400,142.6300,142.1100,142.5450,136849
2023-08-23 09:00:00,141.7200,142.1750,141.5800,142.1250,119904
2023-08-22 15:00:00,141.7000,141.9900,141.6300,141.6400,182078
2023-08-22 14:00:00,141.7350,141.7700,141.5800,141.6900,100146
2023-08-22 13:00:00,142.0700,142.0700,141.7000,141.9200,75795
2023-08-22 12:00:00,141.8300,142.0300,141.6220,142.0100,183001
2023-08-22 11:00:00,142.2100,142.2100,141.7500,142.0500,115323
2023-08-22 10:00:00,143.1850,143.2100,142.5350,142.5350,192764
2023-08-22 09:00:00,142.6600,143.2250,142.3400,143.1800,380962
2023-08-21 15:00:00,142.1450,142.3600,142.1450,142.2400,171037
2023-08-21 14:00:00,142.1100,142.1900,141.9800,142.0500,102205
2023-08-21 13:00:00,141.9700,142.2800,141.8200,142.1700,143085
2023-08-21 12:00:00,141.2500,141.7400,141.2250,141.7300,106119
