Time,Open,High,Low,Close,Volume
2023-08-30 15:00:00,246.7450,246.8950,246.5200,246.5800,242844
2023-08-30 14:00:00,246.4700,246.4900,246.1200,246.2700,167748
2023-08-30 13:00:00,246.5800,246.8200,246.2500,246.2900,188784
2023-08-30 12:00:00,247.1800,247.2950,246.5700,246.6100,189944
2023-08-30 11:00:00,247.2400,247.5000,246.8550,247.2930,296257
2023-08-30 10:00:00,247.9100,248.2300,246.6190,246.6900,436696
2023-08-30 09:00:00,246.4200,248.0700,246.1200,247.9110,738371
2023-08-29 15:00:00,245.2300,245.7200,245.0200,245.7100,217440
2023-08-29 14:00:00,244.7200,245.0050,244.6400,244.8900,166349
2023-08-29 13:00:00,244.7100,244.9000,244.5700,244.7500,126736
2023-08-29 12:00:00,244.7300,244.9200,244.6400,244.8800,140520
2023-08-29 11:00:00,243.8200,244.1300,243.4800,244.1300,215650
2023-08-29 10:00:00,244.3400,244.8000,243.9000,244.2600,395101
2023-08-29 09:00:00,243.5000,244.5000,243.4000,244.3400,352370
2023-08-28 15:00:00,243.8100,244.0700,243.4700,243.6300,189972
2023-08-28 14:00:00,243.3900,243.6200,243.3500,243.4200,143670
2023-08-28 13:00:00,243.9200,244.3400,243.9200,244.0150,120932
2023-08-28 12:00:00,243.6900,243.9200,243.3800,243.3800,170128
2023-08-28 11:00:00,244.4800,244.4800,243.6400,243.7600,229727
2023-08-28 10:00:00,244.4550,245.2300,244.3200,245.1300,358743
2023-08-28 09:00:00,243.0100,244.6000,242.6000,244.4800,454038
2023-08-25 15:00:00,243.2000,243.4100,242.8900,243.1400,148838
2023-08-25 14:00:00,242.6000,243.1700,242.3400,243.1510,159132
2023-08-25 13:00:00,242.8280,242.8500,242.0900,242.3200,114495
2023-08-25 12:00:00,242.0100,242.7600,241.7800,242.7600,136755
2023-08-25 11:00:00,240.3300,242.2750,240.2100,242.2500,238817
2023-08-25 10:00:00,241.7900,243.3200,241.4400,241.6900,387050
2023-08-25 09:00:00,241.3800,242.2600,241.0200,241.7250,350246
2023-08-24 15:00:00,240.0600,240.5200,239.9200,240.4000,255858
2023-08-24 14:00:00,240.3500,240.5650,239.9900,240.1150,133120
2023-08-24 13:00:00,240.6200,240.9200,240.4800,240.5800,113232
2023-08-24 12:00:00,240.3900,241.1050,240.3900,240.8400,117639
2023-08-24 11:00:00,241.1100,241.1100,240.5500,240.9600,179391
2023-08-24 10:00:00,243.4100,243.5600,241.4700,241.5000,411506
2023-08-24 09:00:00,242.2500,243.4800,242.2500,243.4000,560019
2023-08-23 15:00:00,241.6900,242.2600,241.5500,242.2600,226633
2023-08-23 14:00:00,242.1200,242.1300,241.6200,241.8100,119077
2023-08-23 13:00:00,241.7600,242.3900,241.7350,242.3500,132600
2023-08-23 12:00:00,241.6200,242.0350,241.4200,241.5050,178835
2023-08-23 11:00:00,242.0300,242.0490,241.2800,241.2910,175194
2023-08-23 10:00:00,241.1000,241.8300,241.0680,241.7300,191695
2023-08-23 09:00:00,241.3200,242.3400,240.7200,241.1000,540087
2023-08-22 15:00:00,240.3900,240.8800,240.2500,240.3500,229753
2023-08-22 14:00:00,240.2400,240.5500,240.0500,240.5100,173099
2023-08-22 13:00:00,240.8200,240.9390,240.2050,240.5400,192184
2023-08-22 12:00:00,240.7100,240.8400,240.2700,240.8100,272770
2023-08-22 11:00:00,240.2200,241.1900,239.9700,241.1550,195978
2023-08-22 10:00:00,240.0950,240.5230,239.9150,240.0500,220323
2023-08-22 09:00:00,240.0000,240.5300,238.6700,240.1650,504679
2023-08-21 15:00:00,239.7650,240.1200,239.7250,240.0500,187714
2023-08-21 14:00:00,239.2900,239.5300,239.2000,239.2100,186899
2023-08-21 13:00:00,238.7800,238.9900,238.4850,238.9350,115394
2023-08-21 12:00:00,238.0150,238.6900,237.8400,238.6550,120387
