,date,account value,agent
0,2023-04-26 11:00:00,1000000.0,ppo
1,2023-04-26 12:00:00,988618.463137,ppo
2,2023-04-26 13:00:00,968096.7281229998,ppo
3,2023-04-26 14:00:00,953795.544427,ppo
4,2023-04-26 15:00:00,984346.907525,ppo
5,2023-04-27 09:00:00,961245.6517539998,ppo
6,2023-04-27 10:00:00,1021298.2324089996,ppo
7,2023-04-27 11:00:00,1021571.4639399996,ppo
8,2023-04-27 12:00:00,1133190.267535,ppo
9,2023-04-27 13:00:00,1133653.4491889998,ppo
10,2023-04-27 14:00:00,1135867.6597299995,ppo
11,2023-04-27 15:00:00,1067005.083803,ppo
12,2023-04-28 09:00:00,1168308.195864,ppo
13,2023-04-28 10:00:00,1298223.841449,ppo
14,2023-04-28 11:00:00,1213798.6156519998,ppo
15,2023-04-28 12:00:00,1312768.4827319998,ppo
16,2023-04-28 13:00:00,1224387.4572179995,ppo
17,2023-04-28 14:00:00,1206979.4695409993,ppo
18,2023-04-28 15:00:00,1229106.6671839994,ppo
19,2023-05-01 09:00:00,1283194.7170269992,ppo
20,2023-05-01 10:00:00,1313348.2780709993,ppo
21,2023-05-01 11:00:00,1265254.5728979993,ppo
22,2023-05-01 12:00:00,1250766.0942259994,ppo
23,2023-05-01 13:00:00,1317992.0825159992,ppo
24,2023-05-01 14:00:00,1261343.3998739996,ppo
25,2023-05-01 15:00:00,1326900.310587,ppo
26,2023-05-02 09:00:00,1324196.623552,ppo
27,2023-05-02 10:00:00,1569443.8963809996,ppo
28,2023-05-02 11:00:00,1504606.7468319996,ppo
29,2023-05-02 12:00:00,1476847.7743509994,ppo
30,2023-05-02 13:00:00,1414288.2399059995,ppo
31,2023-05-02 14:00:00,1649594.737202,ppo
32,2023-05-02 15:00:00,1926596.397566,ppo
33,2023-05-03 09:00:00,1711957.7186679998,ppo
34,2023-05-03 10:00:00,1643518.1305829997,ppo
35,2023-05-03 11:00:00,1568843.5506369995,ppo
36,2023-05-03 12:00:00,1569933.9369149995,ppo
37,2023-05-03 13:00:00,1834116.8990609995,ppo
38,2023-05-03 14:00:00,1730374.4910479991,ppo
39,2023-05-03 15:00:00,1611569.612927999,ppo
40,2023-05-04 09:00:00,1748118.3956649988,ppo
41,2023-05-04 10:00:00,1733638.4598929994,ppo
42,2023-05-04 11:00:00,1657953.4905279991,ppo
43,2023-05-04 12:00:00,1645497.6487469994,ppo
44,2023-05-04 13:00:00,1674836.9939599992,ppo
45,2023-05-04 14:00:00,1671616.4661219995,ppo
46,2023-05-04 15:00:00,1985974.820544,ppo
47,2023-05-05 09:00:00,1850244.466363,ppo
48,2023-05-05 10:00:00,1907323.978872,ppo
49,2023-05-05 11:00:00,1812360.94883,ppo
50,2023-05-05 12:00:00,2219870.093295,ppo
51,2023-05-05 13:00:00,2449162.1773779998,ppo
52,2023-05-05 14:00:00,2132388.6197649995,ppo
53,2023-05-05 15:00:00,2111381.080162999,ppo
54,2023-05-08 09:00:00,1942673.7399749996,ppo
55,2023-05-08 10:00:00,1941850.696344,ppo
56,2023-05-08 11:00:00,2266476.537854,ppo
57,2023-05-08 12:00:00,2122592.802214999,ppo
58,2023-05-08 13:00:00,2192558.871957999,ppo
59,2023-05-08 14:00:00,2165070.636261,ppo
60,2023-05-08 15:00:00,2448683.520415,ppo
61,2023-05-09 09:00:00,2442818.6301529994,ppo
62,2023-05-09 10:00:00,2230189.346013,ppo
63,2023-05-09 11:00:00,2289386.821063,ppo
64,2023-05-09 12:00:00,2182763.5339899994,ppo
65,2023-05-09 13:00:00,2700914.795656999,ppo
66,2023-05-09 14:00:00,2973803.443774999,ppo
67,2023-05-09 15:00:00,2443342.904216,ppo
68,2023-05-10 09:00:00,2321955.102844,ppo
69,2023-05-10 10:00:00,3037335.843454,ppo
70,2023-05-10 11:00:00,2157110.9095319994,ppo
71,2023-05-10 12:00:00,2451200.4296939992,ppo
72,2023-05-10 13:00:00,2587254.588688,ppo
73,2023-05-10 14:00:00,2550007.466311999,ppo
74,2023-05-10 15:00:00,2294452.4261989994,ppo
75,2023-05-11 09:00:00,2279702.140493,ppo
76,2023-05-11 10:00:00,2728066.3060929994,ppo
77,2023-05-11 11:00:00,2859940.6659349995,ppo
78,2023-05-11 12:00:00,2456776.6739799995,ppo
79,2023-05-11 13:00:00,3325626.505278,ppo
80,2023-05-11 14:00:00,2705051.0448699994,ppo
81,2023-05-11 15:00:00,2837859.86768,ppo
82,2023-05-12 09:00:00,2770145.0962169995,ppo
83,2023-05-12 10:00:00,2412742.499145,ppo
84,2023-05-12 11:00:00,2390000.7850359995,ppo
85,2023-05-12 12:00:00,2385598.326512,ppo
86,2023-05-12 13:00:00,2853415.1572229997,ppo
87,2023-05-12 14:00:00,3209556.48749,ppo
88,2023-05-12 15:00:00,2982346.529839999,ppo
89,2023-05-15 09:00:00,2833547.8286969992,ppo
90,2023-05-15 10:00:00,2803559.859903999,ppo
91,2023-05-15 11:00:00,2607413.880540999,ppo
92,2023-05-15 12:00:00,2605449.775751,ppo
93,2023-05-15 13:00:00,2633922.4367289995,ppo
94,2023-05-15 14:00:00,2636445.962302,ppo
95,2023-05-15 15:00:00,3159621.374720999,ppo
96,2023-05-16 09:00:00,2827817.1688780007,ppo
97,2023-05-16 10:00:00,2918450.801622,ppo
98,2023-05-16 11:00:00,3277630.455424,ppo
99,2023-05-16 12:00:00,3033081.379104999,ppo
100,2023-05-16 13:00:00,3176617.6988890003,ppo
101,2023-05-16 14:00:00,2982299.61839,ppo
102,2023-05-16 15:00:00,3263602.3108359994,ppo
103,2023-05-17 09:00:00,2712609.1639399994,ppo
104,2023-05-17 10:00:00,2792928.5076470003,ppo
105,2023-05-17 11:00:00,3456653.7707990003,ppo
106,2023-05-17 12:00:00,3265239.73707,ppo
107,2023-05-17 13:00:00,3390268.916402,ppo
108,2023-05-17 14:00:00,3544394.457264,ppo
109,2023-05-17 15:00:00,3397322.3243479994,ppo
110,2023-05-18 09:00:00,3336819.4419320007,ppo
111,2023-05-18 10:00:00,3564286.0950759994,ppo
112,2023-05-18 11:00:00,3926688.401912,ppo
113,2023-05-18 12:00:00,3209413.616724,ppo
114,2023-05-18 13:00:00,3045032.6673969994,ppo
115,2023-05-18 14:00:00,3756889.622201,ppo
116,2023-05-18 15:00:00,3079919.768812,ppo
117,2023-05-19 09:00:00,3779824.841533,ppo
118,2023-05-19 10:00:00,3637683.675612,ppo
119,2023-05-19 11:00:00,3741147.730922,ppo
120,2023-05-19 12:00:00,3416611.05116,ppo
121,2023-05-19 13:00:00,3720086.272784,ppo
122,2023-05-19 14:00:00,3624211.129188,ppo
123,2023-05-19 15:00:00,3256281.857927,ppo
124,2023-05-22 09:00:00,3268007.387584,ppo
125,2023-05-22 10:00:00,4087538.586921001,ppo
126,2023-05-22 11:00:00,3796122.658316,ppo
127,2023-05-22 12:00:00,3332561.049145,ppo
128,2023-05-22 13:00:00,3404073.117775,ppo
129,2023-05-22 14:00:00,3407524.7793510007,ppo
130,2023-05-22 15:00:00,4209460.674614999,ppo
131,2023-05-23 09:00:00,3949498.944409,ppo
132,2023-05-23 10:00:00,3903126.711149,ppo
133,2023-05-23 11:00:00,3779623.007,ppo
134,2023-05-23 12:00:00,3745793.015283,ppo
135,2023-05-23 13:00:00,4529580.109616,ppo
136,2023-05-23 14:00:00,3903249.343962,ppo
137,2023-05-23 15:00:00,3866718.5722829993,ppo
138,2023-05-24 09:00:00,3463203.8442890006,ppo
139,2023-05-24 10:00:00,3453775.6672600005,ppo
140,2023-05-24 11:00:00,4407680.445166,ppo
141,2023-05-24 12:00:00,4033691.4427239993,ppo
142,2023-05-24 13:00:00,4886080.735877001,ppo
143,2023-05-24 14:00:00,4349756.276827,ppo
144,2023-05-24 15:00:00,5231751.781063,ppo
145,2023-05-25 09:00:00,4800866.699774,ppo
146,2023-05-25 10:00:00,4352006.8772100005,ppo
147,2023-05-25 11:00:00,4467256.988693,ppo
148,2023-05-25 12:00:00,4224857.071622001,ppo
149,2023-05-25 13:00:00,4322688.696862,ppo
150,2023-05-25 14:00:00,3846986.238191,ppo
151,2023-05-25 15:00:00,4471977.846530999,ppo
152,2023-05-26 09:00:00,3700583.418665,ppo
153,2023-05-26 10:00:00,3784392.165368001,ppo
154,2023-05-26 11:00:00,4859618.62007,ppo
155,2023-05-26 12:00:00,5497788.979466,ppo
156,2023-05-26 13:00:00,4765624.029082999,ppo
157,2023-05-26 14:00:00,4562510.586396,ppo
158,2023-05-26 15:00:00,4467477.693690001,ppo
159,2023-05-30 09:00:00,3926063.804848,ppo
160,2023-05-30 10:00:00,3924485.178062,ppo
161,2023-05-30 11:00:00,3905753.763671001,ppo
162,2023-05-30 12:00:00,3892729.533425,ppo
163,2023-05-30 13:00:00,5091238.468964,ppo
164,2023-05-30 14:00:00,4538555.28093,ppo
165,2023-05-30 15:00:00,4191873.097337001,ppo
166,2023-05-31 09:00:00,3967815.794357,ppo
167,2023-05-31 10:00:00,5029310.0709730005,ppo
