date,a2c,ddpg,ppo,td3,sac
2023-04-26 11:00:00,,,,,1000000.0
2023-04-26 12:00:00,,,,,994453.6655000001
2023-04-26 13:00:00,,,,,1040436.1392000003
2023-04-26 14:00:00,,,,,1133767.5275000003
2023-04-26 15:00:00,,,,,887281.2903000002
2023-04-27 09:00:00,,,,,965600.6409000001
2023-04-27 10:00:00,,,,,1021276.5054000001
2023-04-27 11:00:00,,,,,1019354.5164000002
2023-04-27 12:00:00,,,,,1441884.6639450002
2023-04-27 13:00:00,,,,,890098.5185530002
2023-04-27 14:00:00,,,,,647937.1611350002
2023-04-27 15:00:00,,,,,1054704.3701350002
2023-04-28 09:00:00,,,,,1092206.1881350002
2023-04-28 10:00:00,,,,,1099802.277714
2023-04-28 11:00:00,,,,,1383396.7353950003
2023-04-28 12:00:00,,,,,864451.9017470002
2023-04-28 13:00:00,,,,,990177.9767470001
2023-04-28 14:00:00,,,,,846051.9517470001
2023-04-28 15:00:00,,,,,905640.2707470001
2023-05-01 09:00:00,,,,,1193494.830747
2023-05-01 10:00:00,,,,,863938.977747
2023-05-01 11:00:00,,,,,993277.2537470002
2023-05-01 12:00:00,,,,,851909.4027470001
2023-05-01 13:00:00,,,,,1108397.3277470004
2023-05-01 14:00:00,,,,,967438.2247470001
2023-05-01 15:00:00,,,,,1105501.7867470004
2023-05-02 09:00:00,,,,,1096144.9947470003
2023-05-02 10:00:00,,,,,1410255.4897470004
2023-05-02 11:00:00,,,,,1028668.0737470001
2023-05-02 12:00:00,,,,,647161.8097470001
2023-05-02 13:00:00,,,,,1087836.4707470003
2023-05-02 14:00:00,,,,,1096590.6587470002
2023-05-02 15:00:00,,,,,1251989.0017470003
2023-05-03 09:00:00,,,,,1402867.9997470002
2023-05-03 10:00:00,,,,,838398.0657470002
2023-05-03 11:00:00,,,,,1082194.2467470001
2023-05-03 12:00:00,,,,,1084851.4297470003
2023-05-03 13:00:00,,,,,1403347.3977470002
2023-05-03 14:00:00,,,,,866358.187747
2023-05-03 15:00:00,,,,,959452.3127470001
2023-05-04 09:00:00,,,,,845725.6077470002
2023-05-04 10:00:00,,,,,823973.4497470001
