time/time_elapsed,time/iterations,time/fps,train/reward,time/total_timesteps,train/std,train/clip_fraction,train/learning_rate,train/n_updates,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/approx_kl,train/value_loss,train/loss
5,1,395,-58.8744,2048,,,,,,,,,,,
10,2,381,14.906384,4096,1.0042026042938232,0.23935546875,0.00025,10,0.2,-0.06355947566335089,-42.64517588615418,-0.0002765655517578125,0.019907579,425.72580795288087,218.1902618408203
16,3,383,38.455048,6144,1.0073970556259155,0.235693359375,0.00025,20,0.2,-0.06100766342133283,-42.75027892589569,0.021549999713897705,0.020324294,314.40313320159913,150.2779083251953
21,4,381,16.883514,8192,1.0097507238388062,0.197119140625,0.00025,30,0.2,-0.05438625270326156,-42.82311863899231,-0.0008536577224731445,0.01853759,548.3951936721802,188.75413513183594
26,5,382,63.667923,10240,1.0110605955123901,0.0765625,0.00025,40,0.2,-0.03563090312236454,-42.878312301635745,-0.035303592681884766,0.01063613,2081.162877655029,1326.7803955078125
32,6,382,55.017548,12288,1.012465000152588,0.176123046875,0.00025,50,0.2,-0.05211419561819639,-42.92183825969696,0.0003597140312194824,0.016723223,1418.2382167816163,820.6011962890625
37,7,381,33.295185,14336,1.0141502618789673,0.15419921875,0.00025,60,0.2,-0.04986600041738711,-42.96540098190307,-0.02001821994781494,0.015192797,1537.6832458496094,619.03076171875
42,8,381,10.288505,16384,1.0158836841583252,0.113916015625,0.00025,70,0.2,-0.04066458771485486,-43.018129396438596,0.005516231060028076,0.011689704,2108.0178031921387,1122.8763427734375
48,9,381,59.19987,18432,1.0172600746154785,0.119189453125,0.00025,80,0.2,-0.0433757784543559,-43.06137130260468,0.06741344928741455,0.01272054,1860.4245208740235,796.09912109375
53,10,381,45.049824,20480,1.0183265209197998,0.1056640625,0.00025,90,0.2,-0.038187966612167654,-43.09525015354156,0.05152332782745361,0.0117137,4637.67004699707,1752.3958740234375
59,11,380,14.099258,22528,1.020135521888733,0.106787109375,0.00025,100,0.2,-0.04162187335314229,-43.139978075027464,0.06964820623397827,0.011552203,3938.6266952514648,2069.86962890625
64,12,381,-82.35574,24576,1.020460844039917,0.037451171875,0.00025,110,0.2,-0.026087648791144603,-43.16951665878296,0.08803540468215942,0.0067371284,8602.767459106446,5497.54443359375
69,13,381,27.111105,26624,1.0218274593353271,0.116845703125,0.00025,120,0.2,-0.04246049847570248,-43.194406628608704,0.08296871185302734,0.0128112715,3458.2011222839355,1560.984130859375
